IDCompositionDescription,CompositionDescription,CompositionDescriptionEnglish,CDFrench,CDItalian,CDSpanish,CDDeutch,CDPortugese,CDSwedish,CDAlbanian,CDRussian,CDSerbian
1,"ΝΕΡΟ","WATER","L'EAU","ACQUA","AGUA","WASSER","ÁGUA","VATTEN","uje",,"voda"
2,"ΑΛΕΥΡΙ ΣΙΤΟΥ","WHEAT FLOUR","FARINE","FARINA","HARINA","MEHL","FARINHA","MJ'O'L","MIELL",,"bra{no"
3,"ΑΜΥΛΟ","STARCH","AMIDON","AMIDO","ALMIDÓN","STÄRKE","STARCH",,"AMIDON",,"skrob"
4,"ΖΑΧΑΡΗ","SUGAR","SUCRE","ZUCCHERO","AZÚCAR","ZUCKER","AÇÚCAR","SOCKER","sheqer",,"{eker"
5,"ΑΜΥΛΟΣΙΡΟΠΙΟ","GLUCOSE SYRUP","SIROP DE GLUCOSE","SCIROPPO DEL GLUCOSIO","JARABE DE LA GLUCOSA","GLUKOSE-SIRUP","SYRUP DO GLUCOSE","ST'A'RKELSIRAP","shurup nishesteje",,"glikozen sirup"
6,"ΙΜΒΕΡΤΟΖΑΧΑΡΟ","INVERT SUGAR","SUCRE INVERTI","ZUCCHERO INVERTITO","AZÚCAR INVERTIDA","INVERTZUCKER","AÇÚCAR INVERT",,,,"inverten {eker"
8,"ΜΕΛΙ","HONEY","MIEL","MIELE","MIEL","HONIG","MEL","HONUNG","MJALTE",,"med"
9,"ΣΟΡΒΙΤΟΛΗ","SORBITOL","SORBITOL","SORBITOLO","SORBITOL","SORBIT","SORBITOL","SORBETOL","SORBITOL",,"sorbitol"
10,"ΣΤΑΦΙΔΙΝΗ","RAISIN SYRUP","SIROP DE RAISIN SEC","SCIROPPO DELL'UVA PASSA","JARABE DE LA PASA","ROSINE-SIRUP","SYRUP DO RAISIN","RUSSIN","stafidha",,"grozdov sirup"
11,"ΦΡΟΥΚΤΟΖΗ","FRUCTOSE","FRUCTOSE","FRUTTOSIO","FRUCTOSA","FRUCHTZUCKER","FRUCTOSE","FRUCTOS","fruktose",,"fruktoza"
12,"ΔΕΞΤΡΟΖΗ","DEXTROSE","DEXTROSE","DESTROSIO","DEXTROSA","TRAUBENZUCKER","DEXTROSE",,"dextrose",,"dekstroza"
13,"ΑΣΠΑΡΤΑΜΗ","ASPARTAME","ASPARTAME","ASPARTAME","ASPARTAME","ASPARTAM","ASPARTAME",,"ASPARTAME",,"aspartam"
14,"ΜΑΛΤΙΤΟΛΗ","MALTITOL","MALTITOL","MALTITOLO","MALTITOL","MALTITOL","MALTITOL",,"MALTITOL",,"malitol"
15,"ΓΛΥΚΑΝΤΙΚΟ:ΑΚΕΣΟΥΛΦΑΜΗ","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM",,,"acesulfam"
16,"ΙΣΟΜΑΛΤΙΤΟΛΗ","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT",,"izomalt"
17,"ΞΥΛΙΤΟΛΗ","XYLITOL","XYLITOL","XILITOLO","XYLITOL","XYLITOL","XYLITOL",,"XYLITOL",,"ksilitol"
18,"ΝΕΟΕΣΠΕΡΙΔΙΝΗ","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE",,"NEOESPERIDINE",,"neoespedrin"
19,"ΜΑΝΙΤΟΛΗ","MANITOL","MANITOL","MANITOL","MANITOL","MANITOL","MANITOL",,"MANITOL",,"manitol"
20,"ΜΑΛΤΟΔΕΞΤΡΙΝΗ","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE",,"MALTIDEXTRINE",,"maltodekstrin"
